<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.28	08:00:00	1.08234	1.08266	1.07897	1.07919	10644	0	2
2024.03.28	12:00:00	1.07918	1.08088	1.07751	1.08082	15512	0	2
2024.03.28	16:00:00	1.08080	1.08186	1.07928	1.07993	20635	0	2
2024.03.28	20:00:00	1.07993	1.08019	1.07846	1.07868	7890	0	2
2024.03.29	00:00:00	1.07863	1.07923	1.07836	1.07836	5091	0	2
2024.03.29	04:00:00	1.07836	1.07844	1.07737	1.07767	3650	0	2
2024.03.29	08:00:00	1.07767	1.07813	1.07675	1.07785	4520	0	2
2024.03.29	12:00:00	1.07785	1.08051	1.07727	1.07982	7633	0	2
2024.03.29	16:00:00	1.07983	1.08034	1.07867	1.07877	6085	0	2
2024.03.29	20:00:00	1.07876	1.07960	1.07875	1.07928	4903	0	2
2024.04.01	00:00:00	1.07892	1.07988	1.07849	1.07913	6782	0	2
2024.04.01	04:00:00	1.07913	1.07946	1.07840	1.07868	7120	0	2
2024.04.01	08:00:00	1.07867	1.07921	1.07828	1.07897	6419	0	2
2024.04.01	12:00:00	1.07898	1.07909	1.07770	1.07817	8775	0	2
2024.04.01	16:00:00	1.07817	1.07831	1.07309	1.07365	19456	0	2
2024.04.01	20:00:00	1.07365	1.07440	1.07365	1.07425	7250	0	2
2024.04.02	00:00:00	1.07398	1.07443	1.07309	1.07371	5703	0	2
2024.04.02	04:00:00	1.07370	1.07381	1.07292	1.07332	5264	0	2
2024.04.02	08:00:00	1.07332	1.07428	1.07244	1.07314	14424	0	2
2024.04.02	12:00:00	1.07311	1.07560	1.07311	1.07490	14485	0	2
2024.04.02	16:00:00	1.07489	1.07791	1.07479	1.07683	18580	0	2
2024.04.02	20:00:00	1.07682	1.07689	1.07602	1.07684	5532	0	2
2024.04.03	00:00:00	1.07699	1.07738	1.07658	1.07686	4502	0	2
2024.04.03	04:00:00	1.07686	1.07793	1.07657	1.07746	6705	0	2
2024.04.03	08:00:00	1.07747	1.07774	1.07639	1.07710	9119	0	2
2024.04.03	12:00:00	1.07714	1.07863	1.07650	1.07777	12865	0	2
2024.04.03	16:00:00	1.07778	1.08362	1.07777	1.08306	24279	0	2
2024.04.03	20:00:00	1.08307	1.08368	1.08255	1.08366	9368	0	2
2024.04.04	00:00:00	1.08337	1.08433	1.08325	1.08431	3892	0	2
2024.04.04	04:00:00	1.08429	1.08447	1.08381	1.08427	4308	0	2
2024.04.04	08:00:00	1.08428	1.08626	1.08389	1.08619	13116	0	2
2024.04.04	12:00:00	1.08619	1.08703	1.08506	1.08696	12539	0	2
2024.04.04	16:00:00	1.08695	1.08765	1.08579	1.08588	14177	0	2
2024.04.04	20:00:00	1.08587	1.08619	1.08317	1.08381	14732	0	2
2024.04.05	00:00:00	1.08383	1.08439	1.08341	1.08417	7878	0	2
2024.04.05	04:00:00	1.08416	1.08430	1.08231	1.08263	8931	0	2
2024.04.05	08:00:00	1.08264	1.08463	1.08225	1.08374	10347	0	2
2024.04.05	12:00:00	1.08374	1.08479	1.07999	1.08092	14920	0	2
2024.04.05	16:00:00	1.08092	1.08444	1.07913	1.08356	25005	0	2
2024.04.05	20:00:00	1.08356	1.08389	1.08305	1.08370	8971	0	2
2024.04.08	00:00:00	1.08361	1.08377	1.08229	1.08268	4034	0	2
2024.04.08	04:00:00	1.08268	1.08432	1.08267	1.08321	6964	0	2
2024.04.08	08:00:00	1.08322	1.08377	1.08221	1.08235	13049	0	2
2024.04.08	12:00:00	1.08234	1.08356	1.08206	1.08342	12171	0	2
2024.04.08	16:00:00	1.08343	1.08588	1.08343	1.08501	16569	0	2
2024.04.08	20:00:00	1.08502	1.08622	1.08495	1.08591	6771	0	2
2024.04.09	00:00:00	1.08558	1.08635	1.08549	1.08586	4781	0	2
2024.04.09	04:00:00	1.08587	1.08622	1.08539	1.08565	5885	0	2
2024.04.09	08:00:00	1.08566	1.08627	1.08490	1.08575	9006	0	2
2024.04.09	12:00:00	1.08575	1.08840	1.08564	1.08805	11904	0	2
2024.04.09	16:00:00	1.08807	1.08851	1.08522	1.08546	19367	0	2
2024.04.09	20:00:00	1.08544	1.08590	1.08475	1.08573	7942	0	2
2024.04.10	00:00:00	1.08565	1.08598	1.08525	1.08572	4832	0	2
2024.04.10	04:00:00	1.08571	1.08588	1.08503	1.08523	5456	0	2
2024.04.10	08:00:00	1.08524	1.08606	1.08477	1.08604	9868	0	2
2024.04.10	12:00:00	1.08604	1.08664	1.07783	1.07807	15393	0	2
2024.04.10	16:00:00	1.07806	1.07811	1.07287	1.07359	26041	0	2
2024.04.10	20:00:00	1.07359	1.07541	1.07289	1.07418	18108	0	2
2024.04.11	00:00:00	1.07425	1.07459	1.07381	1.07424	6014	0	2
2024.04.11	04:00:00	1.07425	1.07488	1.07411	1.07462	6626	0	2
2024.04.11	08:00:00	1.07463	1.07497	1.07265	1.07403	14095	0	2
2024.04.11	12:00:00	1.07403	1.07469	1.07148	1.07413	21073	0	2
2024.04.11	16:00:00	1.07416	1.07565	1.06992	1.07175	26801	0	2
2024.04.11	20:00:00	1.07175	1.07345	1.07152	1.07258	9874	0	2
2024.04.12	00:00:00	1.07271	1.07293	1.07225	1.07260	3218	0	2
2024.04.12	04:00:00	1.07259	1.07282	1.07108	1.07113	6054	0	2
2024.04.12	08:00:00	1.07112	1.07142	1.06706	1.06711	14672	0	2
2024.04.12	12:00:00	1.06710	1.06749	1.06311	1.06382	17267	0	2
2024.04.12	16:00:00	1.06382	1.06509	1.06225	1.06417	23331	0	2
2024.04.12	20:00:00	1.06419	1.06504	1.06371	1.06413	11497	0	2
2024.04.15	00:00:00	1.06342	1.06515	1.06304	1.06455	8273	0	2
2024.04.15	04:00:00	1.06455	1.06548	1.06391	1.06525	9430	0	2
2024.04.15	08:00:00	1.06525	1.06648	1.06498	1.06562	14296	0	2
2024.04.15	12:00:00	1.06563	1.06650	1.06308	1.06470	15929	0	2
2024.04.15	16:00:00	1.06472	1.06608	1.06218	1.06361	24651	0	2
2024.04.15	20:00:00	1.06360	1.06394	1.06202	1.06225	14590	0	2
2024.04.16	00:00:00	1.06236	1.06284	1.06178	1.06182	5232	0	2
2024.04.16	04:00:00	1.06183	1.06193	1.06059	1.06138	9099	0	2
2024.04.16	08:00:00	1.06138	1.06246	1.06022	1.06161	16965	0	2
2024.04.16	12:00:00	1.06159	1.06536	1.06159	1.06389	17891	0	2
2024.04.16	16:00:00	1.06388	1.06448	1.06187	1.06250	27311	0	2
2024.04.16	20:00:00	1.06251	1.06350	1.06011	1.06184	20519	0	2
2024.04.17	00:00:00	1.06179	1.06252	1.06125	1.06223	6788	0	2
2024.04.17	04:00:00	1.06222	1.06355	1.06201	1.06248	7307	0	2
2024.04.17	08:00:00	1.06248	1.06488	1.06060	1.06402	17422	0	2
2024.04.17	12:00:00	1.06404	1.06491	1.06314	1.06348	14422	0	2
2024.04.17	16:00:00	1.06346	1.06563	1.06300	1.06496	23270	0	2
2024.04.17	20:00:00	1.06497	1.06796	1.06479	1.06733	14867	0	2
2024.04.18	00:00:00	1.06717	1.06755	1.06641	1.06696	4616	0	2
2024.04.18	04:00:00	1.06698	1.06802	1.06644	1.06783	6803	0	2
2024.04.18	08:00:00	1.06782	1.06901	1.06748	1.06784	12611	0	2
2024.04.18	12:00:00	1.06785	1.06814	1.06599	1.06626	14177	0	2
2024.04.18	16:00:00	1.06627	1.06684	1.06462	1.06533	21375	0	2
2024.04.18	20:00:00	1.06532	1.06548	1.06414	1.06416	10768	0	2
2024.04.19	00:00:00	1.06440	1.06445	1.06359	1.06385	5330	0	2
2024.04.19	04:00:00	1.06386	1.06431	1.06103	1.06345	25649	0	2
2024.04.19	08:00:00	1.06346	1.06592	1.06268	1.06455	21148	0	2
2024.04.19	12:00:00	1.06456	1.06737	1.06431	1.06654	16923	0	2
2024.04.19	16:00:00	1.06650	1.06775	1.06401	1.06535	22741	0	2
2024.04.19	20:00:00	1.06534	1.06584	1.06465	1.06572	12373	0	2
2024.04.22	00:00:00	1.06510	1.06648	1.06488	1.06532	5957	0	2
2024.04.22	04:00:00	1.06532	1.06706	1.06531	1.06653	7455	0	2
2024.04.22	08:00:00	1.06654	1.06692	1.06473	1.06569	13338	0	2
2024.04.22	12:00:00	1.06568	1.06619	1.06307	1.06397	13568	0	2
2024.04.22	16:00:00	1.06398	1.06509	1.06238	1.06487	15209	0	2
2024.04.22	20:00:00	1.06487	1.06607	1.06482	1.06544	6565	0	2
2024.04.23	00:00:00	1.06534	1.06592	1.06494	1.06586	3363	0	2
2024.04.23	04:00:00	1.06585	1.06606	1.06532	1.06551	6910	0	2
2024.04.23	08:00:00	1.06550	1.06948	1.06385	1.06706	16454	0	2
2024.04.23	12:00:00	1.06706	1.06779	1.06531	1.06720	15002	0	2
2024.04.23	16:00:00	1.06719	1.07113	1.06600	1.06999	21831	0	2
2024.04.23	20:00:00	1.06999	1.07076	1.06993	1.07026	7389	0	2
2024.04.24	00:00:00	1.07019	1.07106	1.06989	1.07094	3408	0	2
2024.04.24	04:00:00	1.07095	1.07142	1.07042	1.07051	6126	0	2
2024.04.24	08:00:00	1.07052	1.07056	1.06806	1.06833	11795	0	2
2024.04.24	12:00:00	1.06833	1.06930	1.06778	1.06867	12791	0	2
2024.04.24	16:00:00	1.06867	1.07025	1.06810	1.06905	18076	0	2
2024.04.24	20:00:00	1.06905	1.07064	1.06869	1.06987	9194	0	2
2024.04.25	00:00:00	1.06945	1.07046	1.06929	1.07034	3640	0	2
2024.04.25	04:00:00	1.07033	1.07099	1.06968	1.07091	5274	0	2
2024.04.25	08:00:00	1.07092	1.07287	1.07076	1.07256	11716	0	2
2024.04.25	12:00:00	1.07255	1.07397	1.06853	1.06919	14825	0	2
2024.04.25	16:00:00	1.06920	1.07350	1.06782	1.07310	24514	0	2
2024.04.25	20:00:00	1.07312	1.07387	1.07228	1.07303	9288	0	2
2024.04.26	00:00:00	1.07289	1.07302	1.07226	1.07274	2855	0	2
2024.04.26	04:00:00	1.07273	1.07293	1.07184	1.07224	5494	0	2
2024.04.26	08:00:00	1.07223	1.07528	1.07214	1.07409	14913	0	2
2024.04.26	12:00:00	1.07408	1.07433	1.07101	1.07163	17734	0	2
2024.04.26	16:00:00	1.07164	1.07237	1.06740	1.06944	21907	0	2
2024.04.26	20:00:00	1.06945	1.07071	1.06909	1.06940	6431	0	2
2024.04.29	00:00:00	1.06912	1.07112	1.06905	1.07097	4145	0	2
2024.04.29	04:00:00	1.07098	1.07334	1.07075	1.07287	11517	0	2
2024.04.29	08:00:00	1.07287	1.07336	1.07010	1.07045	20982	0	2
2024.04.29	12:00:00	1.07046	1.07271	1.06972	1.07033	12407	0	2
2024.04.29	16:00:00	1.07032	1.07289	1.06901	1.07259	14011	0	2
2024.04.29	20:00:00	1.07261	1.07296	1.07149	1.07200	8046	0	2
2024.04.30	00:00:00	1.07211	1.07226	1.07101	1.07150	3469	0	2
2024.04.30	04:00:00	1.07149	1.07177	1.07022	1.07056	4708	0	2
2024.04.30	08:00:00	1.07057	1.07122	1.06898	1.07108	11185	0	2
2024.04.30	12:00:00	1.07109	1.07354	1.06891	1.07001	15952	0	2
2024.04.30	16:00:00	1.07001	1.07196	1.06759	1.06788	22446	0	2
2024.04.30	20:00:00	1.06789	1.06830	1.06662	1.06669	7530	0	2
2024.05.01	00:00:00	1.06659	1.06727	1.06580	1.06616	3764	0	2
2024.05.01	04:00:00	1.06617	1.06632	1.06548	1.06558	3731	0	2
2024.05.01	08:00:00	1.06556	1.06705	1.06493	1.06693	6045	0	2
2024.05.01	12:00:00	1.06694	1.06847	1.06666	1.06843	9549	0	2
2024.05.01	16:00:00	1.06842	1.06913	1.06705	1.06716	14565	0	2
2024.05.01	20:00:00	1.06718	1.07326	1.06707	1.07176	27455	0	2
2024.05.02	00:00:00	1.07121	1.07216	1.07062	1.07116	5997	0	2
2024.05.02	04:00:00	1.07115	1.07209	1.07068	1.07176	6036	0	2
2024.05.02	08:00:00	1.07175	1.07281	1.06998	1.07041	13871	0	2
2024.05.02	12:00:00	1.07042	1.07120	1.06933	1.07011	13642	0	2
2024.05.02	16:00:00	1.07014	1.07215	1.06742	1.07165	20675	0	2
2024.05.02	20:00:00	1.07166	1.07302	1.07139	1.07257	9015	0	2
2024.05.03	00:00:00	1.07226	1.07316	1.07220	1.07313	4322	0	2
2024.05.03	04:00:00	1.07315	1.07394	1.07308	1.07322	5337	0	2
2024.05.03	08:00:00	1.07321	1.07442	1.07243	1.07425	11405	0	2
2024.05.03	12:00:00	1.07426	1.08121	1.07387	1.07935	15612	0	2
2024.05.03	16:00:00	1.07935	1.07982	1.07515	1.07634	28258	0	2
2024.05.03	20:00:00	1.07634	1.07693	1.07590	1.07634	5921	0	2
2024.05.06	00:00:00	1.07631	1.07689	1.07550	1.07674	3436	0	2
2024.05.06	04:00:00	1.07675	1.07715	1.07620	1.07627	5963	0	2
2024.05.06	08:00:00	1.07626	1.07761	1.07576	1.07684	9067	0	2
2024.05.06	12:00:00	1.07682	1.07907	1.07660	1.07873	9079	0	2
2024.05.06	16:00:00	1.07874	1.07889	1.07712	1.07742	10271	0	2
2024.05.06	20:00:00	1.07741	1.07766	1.07661	1.07697	5047	0	2
2024.05.07	00:00:00	1.07664	1.07760	1.07658	1.07751	3093	0	2
2024.05.07	04:00:00	1.07750	1.07769	1.07606	1.07658	5831	0	2
2024.05.07	08:00:00	1.07657	1.07695	1.07540	1.07638	10289	0	2
2024.05.07	12:00:00	1.07638	1.07791	1.07551	1.07755	10145	0	2
2024.05.07	16:00:00	1.07756	1.07874	1.07661	1.07703	12624	0	2
2024.05.07	20:00:00	1.07704	1.07706	1.07479	1.07548	6995	0	2
2024.05.08	00:00:00	1.07544	1.07560	1.07469	1.07479	3096	0	2
2024.05.08	04:00:00	1.07480	1.07487	1.07380	1.07413	4858	0	2
2024.05.08	08:00:00	1.07412	1.07491	1.07350	1.07442	8421	0	2
2024.05.08	12:00:00	1.07443	1.07539	1.07398	1.07488	9766	0	2
2024.05.08	16:00:00	1.07489	1.07575	1.07442	1.07458	11219	0	2
2024.05.08	20:00:00	1.07459	1.07469	1.07408	1.07469	5028	0	2
2024.05.09	00:00:00	1.07461	1.07506	1.07424	1.07432	2762	0	2
2024.05.09	04:00:00	1.07431	1.07516	1.07422	1.07452	4428	0	2
2024.05.09	08:00:00	1.07453	1.07464	1.07261	1.07282	7417	0	2
2024.05.09	12:00:00	1.07281	1.07623	1.07239	1.07593	13257	0	2
2024.05.09	16:00:00	1.07588	1.07817	1.07505	1.07758	13468	0	2
2024.05.09	20:00:00	1.07757	1.07844	1.07737	1.07823	5576	0	2
2024.05.10	00:00:00	1.07808	1.07859	1.07764	1.07792	3008	0	2
2024.05.10	04:00:00	1.07793	1.07826	1.07732	1.07740	4667	0	2
2024.05.10	08:00:00	1.07739	1.07867	1.07715	1.07807	10096	0	2
2024.05.10	12:00:00	1.07811	1.07861	1.07662	1.07701	10399	0	2
2024.05.10	16:00:00	1.07700	1.07901	1.07603	1.07759	14640	0	2
2024.05.10	20:00:00	1.07758	1.07774	1.07685	1.07696	4962	0	2
2024.05.13	00:00:00	1.07696	1.07752	1.07630	1.07691	3888	0	2
2024.05.13	04:00:00	1.07693	1.07732	1.07657	1.07696	4889	0	2
2024.05.13	08:00:00	1.07695	1.07845	1.07688	1.07837	7667	0	2
2024.05.13	12:00:00	1.07837	1.07997	1.07772	1.07982	9928	0	2
2024.05.13	16:00:00	1.07983	1.08069	1.07894	1.07934	12634	0	2
2024.05.13	20:00:00	1.07934	1.07941	1.07867	1.07898	5413	0	2
2024.05.14	00:00:00	1.07882	1.07936	1.07853	1.07877	2577	0	2
2024.05.14	04:00:00	1.07876	1.07897	1.07843	1.07854	4647	0	2
2024.05.14	08:00:00	1.07854	1.07894	1.07752	1.07836	8848	0	2
2024.05.14	12:00:00	1.07837	1.08106	1.07669	1.08031	13376	0	2
2024.05.14	16:00:00	1.08032	1.08256	1.08006	1.08169	15180	0	2
2024.05.14	20:00:00	1.08168	1.08230	1.08155	1.08195	4170	0	2
2024.05.15	00:00:00	1.08191	1.08199	1.08131	1.08170	2998	0	2
2024.05.15	04:00:00	1.08169	1.08276	1.08164	1.08215	3588	0	2
2024.05.15	08:00:00	1.08214	1.08346	1.08211	1.08297	8618	0	2
2024.05.15	12:00:00	1.08298	1.08693	1.08218	1.08612	14216	0	2
