datetime,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,ema_50,ema_100,ema_200,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_mid,bb_bandwidth,stoch_k,stoch_d,atr
2025-01-23 16:00:00,1.04107,1.04378,1.03719,1.04353,19651,1.0358391494899912,1.0355065439977948,1.0403546304716529,63.16968351018745,0.002543525266439417,0.002780787270037868,-0.0002372620035984512,1.0451184303202166,1.0360735696797836,1.040596,0.8692000200301531,80.85664335664393,66.9002213846234,0.003432807311620659
2025-01-23 20:00:00,1.04353,1.04369,1.04126,1.04139,7496,1.0360568299021484,1.0356230480770465,1.0403649326560147,57.01209819107701,0.002384732626083963,0.0027015763412470872,-0.0003168437151631243,1.045194949114892,1.036155050885108,1.040675,0.8686571917057586,49.23798358733901,63.180011407670584,0.0033611782179334645
2025-01-24 00:00:00,1.04137,1.0423,1.04114,1.04157,4648,1.0362730326510838,1.0357408095012635,1.0403769233758553,57.388345626164416,0.002247504971946812,0.0026107620673870326,-0.0003632570954402205,1.0452527161645186,1.0363992838354814,1.040826,0.8506159847118765,51.348182883940076,60.48093660930764,0.003203951202366792
2025-01-24 04:00:00,1.04157,1.04539,1.04157,1.04513,11215,1.0366203647039824,1.0359267340655949,1.0404242176706229,64.08379743231282,0.00239836643982283,0.002568282941874192,-0.00016991650205136228,1.0458259162500463,1.0362110837499539,1.0410185,0.9235986200141908,93.08323563892033,64.55646737006644,0.003247954687912017
2025-01-24 08:00:00,1.04514,1.05151,1.04472,1.04944,18484,1.0371230954999047,1.0361943234900386,1.040513926947532,70.19063271614365,0.0028330485991010512,0.0026212360733195643,0.00021181252578148695,1.0473441143047102,1.03593588569529,1.0416400000000001,1.0952179840847265,85.54469273742994,76.65870375343009,0.0035009579244897194
2025-01-24 12:00:00,1.04944,1.04978,1.04636,1.04685,12068,1.0375045427352025,1.0364053269852853,1.0405769724505418,63.23277977515966,0.0029347164036739315,0.002683932139390438,0.0002507842642834935,1.0479461081481682,1.0362328918518315,1.0420895,1.1240125052921754,67.45810055865975,82.02867631166998,0.003495175215597595
2025-01-24 16:00:00,1.04685,1.05214,1.04671,1.0511,17194,1.0380376979220574,1.036696310609339,1.0406816791923275,68.71338494663297,0.003319957943966889,0.002811137300305728,0.0005088206436611609,1.049119826603485,1.0366341733965152,1.042877,1.197231620504595,93.04347826086855,82.01542385231939,0.003633376985912056
2025-01-24 20:00:00,1.05109,1.05117,1.04881,1.04955,5743,1.0384891607486433,1.0369508391121243,1.0407699211904138,64.91300609336346,0.003460304359364841,0.002940970712117551,0.0005193336472472899,1.0498905385827442,1.0370414614172558,1.043466,1.2313843637922397,82.67558528428034,81.05905470126952,0.003542421486918332
2025-01-27 00:00:00,1.04783,1.04851,1.04612,1.04627,6941,1.0387942916996769,1.0371353769514882,1.0408246483427481,57.64709907194535,0.003269176287561404,0.003006611827206322,0.00026256446035508203,1.0501783144478658,1.037168685552134,1.0436735,1.2465228728842652,60.73578595317703,78.8182831661086,0.003534391380709883
2025-01-27 04:00:00,1.04627,1.04776,1.04557,1.04629,6985,1.0390882410447877,1.0373166566158152,1.040879029951278,57.6782064218603,0.003083771943127811,0.0030220438503906198,6.172809273719123e-05,1.05043893065444,1.0372730693455603,1.0438560000000001,1.261271795044493,60.869565217390466,68.09364548494925,0.003438363424944885
2025-01-27 08:00:00,1.04629,1.04937,1.04537,1.04887,15672,1.0394718394351883,1.0375454356927296,1.0409585420910663,61.596729894818544,0.0031091813947183855,0.003039471359256173,6.971003546221233e-05,1.0510377780689584,1.037466221931042,1.0442520000000002,1.2996437773560772,78.12709030100267,66.57748049052336,0.0034784803231631078
2025-01-27 12:00:00,1.04888,1.05331,1.04888,1.05198,19232,1.039962355535769,1.0378312686493092,1.0410682083389164,65.7173124115657,0.0033417479861954646,0.003099926684644032,0.00024182130155143283,1.0522198814950383,1.0373261185049616,1.044773,1.4255501424784829,91.74937965260509,76.91534505699937,0.0035471603000800283
2025-01-27 16:00:00,1.05198,1.05244,1.04848,1.04887,17508,1.0403116749265233,1.0380498573889267,1.0411458381066885,58.910162532170766,0.003237784512438946,0.003127498250203015,0.00011028626223593112,1.05264074042989,1.03732625957011,1.0449835,1.4655237005924058,72.45657568238198,80.77768187866322,0.003576648850074309
2025-01-27 20:00:00,1.04886,1.04943,1.04791,1.0491,8240,1.0406563151254833,1.0382686720940966,1.0412249839961742,59.24636738304728,0.0031377813975306257,0.0031295548796685373,8.226517862088348e-06,1.053091042810915,1.037469957189085,1.0452805,1.4944395903137917,73.88337468982587,79.36311000827095,0.0034297453607833005
2025-01-28 00:00:00,1.04911,1.0493,1.04285,1.04377,11055,1.0407784204146802,1.038377609280352,1.041250307538501,49.199814519511435,0.002598488000978172,0.0030233415039304643,-0.00042485350295229244,1.0530556397204986,1.037712360279501,1.0453839999999999,1.467717072482223,21.61051766639383,55.983489346200535,0.0036454778350130538
2025-01-28 04:00:00,1.04374,1.04414,1.04243,1.04364,8029,1.0408906392219477,1.0384818150371768,1.0412740855729437,48.98164726836935,0.002135981915349028,0.002845869586214177,-0.0007098876708651492,1.0529625762560682,1.038078423743932,1.0455205,1.423611733307587,20.542317173376695,38.67873650986544,0.0035072294182264146
2025-01-28 08:00:00,1.04364,1.04442,1.04194,1.04351,13665,1.0409933592524596,1.0385813830562427,1.0412963334776906,48.74885145507382,0.0017389075529290476,0.0026244771795571513,-0.0008855696266281037,1.0528031346654732,1.0385528653345266,1.0456779999999999,1.3627779613749673,16.524701873934017,19.559178904568153,0.003433855888353086
2025-01-28 12:00:00,1.04351,1.04372,1.04136,1.0425,12992,1.0410524432033437,1.0386589794313665,1.041308310259007,46.88447528301327,0.0013274229948743166,0.0023650663426205846,-0.001037643347746268,1.0526627185877522,1.0388922814122479,1.0457775,1.3167654855362925,9.539748953974293,15.53558933376164,0.0033571518963278596
2025-01-28 16:00:00,1.04246,1.04405,1.04208,1.04279,15160,1.0411205826855656,1.0387407818188643,1.0413230534405096,47.50526739660045,0.0010130413839211094,0.00209466135088069,-0.0010816199669595804,1.0525588745231271,1.0391601254768728,1.0458595,1.2811232336900298,11.96652719665317,12.676992674853798,0.003258069618018729
2025-01-28 20:00:00,1.04281,1.04381,1.04225,1.04304,7685,1.0411958539527983,1.0388259148521541,1.0413401374858777,48.06874958022931,0.0007751293937563464,0.0018307549594558212,-0.0010556255656994748,1.0524237106247494,1.0394952893752505,1.0459595,1.236034593069702,14.058577405857047,11.854951185494807,0.0031367789310173914
2025-01-29 00:00:00,1.04279,1.04344,1.04263,1.04271,4082,1.0412552322291593,1.0389028274293393,1.041353767958655,47.34629741416458,0.0005535729411343393,0.0015753185557915248,-0.0010217456146571855,1.0524538386294149,1.039383161370585,1.0459185,1.2496841062501354,11.297071129706888,12.44072524407234,0.002970580435944719
2025-01-29 04:00:00,1.04271,1.04426,1.04258,1.04403,4897,1.0413640466515452,1.0390043555990554,1.0413803971331959,50.5479572182751,0.00047897944758568123,0.001356050734150356,-0.0008770712865646749,1.0523157038275799,1.03978529617242,1.0460505,1.1978778897538676,22.343096234309385,15.899581589957746,0.0028783961190915184
2025-01-29 08:00:00,1.04411,1.04436,1.04019,1.04037,12190,1.0413250644299161,1.0390313980624404,1.041370343430378,42.78042293244625,0.0001231129845764567,0.0011094631842355762,-0.0009863501996591195,1.0524462740822553,1.0395347259177443,1.0459904999999998,1.2343848404465445,1.3719512195127188,11.670706194509634,0.0029706535391564107
2025-01-29 12:00:00,1.04036,1.04084,1.03822,1.03873,14318,1.0412232971973705,1.0390254297839763,1.041344071356444,39.82713315746435,-0.0002879289791437589,0.0008299847515597092,-0.0011179137307034681,1.0528581490594024,1.0384828509405974,1.0456705,1.3747445413067505,3.379721669980178,9.031589707934065,0.0029456068577881005
2025-01-29 16:00:00,1.03876,1.04284,1.03862,1.04212,16995,1.04125846201316,1.0390867084021154,1.0413517920394644,47.842418166174305,-0.00033626181135604227,0.0005967354389765589,-0.0009329972503326012,1.0524323228794727,1.038176677120527,1.0453044999999999,1.3637792393456434,25.844930417495043,10.198867768995951,0.003036634939374657
2025-01-29 20:00:00,1.04212,1.04287,1.03884,1.04212,16332,1.0412922478165656,1.0391467735822715,1.0413594358997682,47.842418166174305,-0.00037029737150695574,0.000403328876879856,-0.0007736262483868117,1.052288292514929,1.0378477074850712,1.045068,1.3817842503892472,27.42616033755261,18.883604141675914,0.0031075895865621795
2025-01-30 00:00:00,1.04178,1.04288,1.04167,1.04199,4731,1.0413196106472886,1.0392030750954937,1.0413657101694223,47.5606582922103,-0.0004031138659670308,0.00024204032831047864,-0.0006451541942775094,1.0513889677377781,1.0378360322622218,1.0446125,1.2974127224742533,33.63068688670826,28.96725921391861,0.002972047473236305
2025-01-30 04:00:00,1.04199,1.04275,1.04175,1.04219,5349,1.0413537435630813,1.0392622221233057,1.0413739120582837,48.06738932721436,-0.00040827648851005094,0.00011197696494637272,-0.0005202534534564237,1.0507002523962088,1.0377887476037913,1.0442445,1.2364446058770275,35.830324909747624,32.29572404466947,0.00283118693943372
2025-01-30 08:00:00,1.04219,1.0429,1.0402,1.04075,11717,1.0413300673449213,1.039291683071359,1.0413677039781017,44.71689352693418,-0.0005225403496078584,-1.4926497964473505e-05,-0.0005076138516433849,1.050525466600583,1.0374115333994167,1.0439684999999999,1.256161771276267,40.80645161290565,36.75582113645382,0.0028218164437598774
2025-01-30 12:00:00,1.04073,1.04598,1.03903,1.0456,15254,1.0414975156843362,1.0394166002382628,1.0414098163763297,55.87329167217767,-0.0002192138550307643,-5.578396937773167e-05,-0.0001634298856530326,1.050448870374855,1.037419129625145,1.043934,1.2481383640833592,95.1030927835074,57.246623102053526,0.00311668669777703
2025-01-30 16:00:00,1.0456,1.04677,1.04093,1.04169,18179,1.0415050640888721,1.0394616180553269,1.0414126042730827,47.54336489551809,-0.0002909755603617281,-0.00010282228757453096,-0.00018815327278719717,1.0497444651308823,1.037405534869118,1.0435750000000001,1.1823712010889724,40.58479532163814,58.831446572683696,0.003311209076507247
